,,Обязательные,,Обязательные для текущего грейда,,,,,,,,,,,
,,Желательные,,Рекомендуемые на текущем грейде - становятся обязательными на следующем,,,,,,,,,,,
,,Дополнительные,,"Дополнительные на текущем грейде - не являются обязательными на следующем грейде, пока не указано явно",,,,,,,,,,,
,,Опционально,,"Не являются обязательными, но дают дополнительные баллы",,,,,,,,,,,
,,Включает все предыдущие компетенции,,Включает указанные предыдущие компетенции,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,"Младший разработчик
Junior Engineer (E1)",,"Разработчик
Middle Engineer (E2)",,"Старший разработчик
Senior Engineer (E3)",,"Ведущий разработчик
Lead (Staff) Engineer (E4)",,,"Главный разработчик
Principal Engineer (E5)",,
,,,,E1.1,E1.2,E2.1,E2.2,E3.1,E3.2,E4.1,E4.2,E4.3,E5.1,E5.2,E5.3
Technical Skills,Tools,Git,"Понимание/использование базы. Модель бранчей, мержинг, сравнение изменений. Модель Git-flow, наша модель ветвления. Откат изменение. Fast-forward, rebase - и почему их нельзя испольовать",Использование любого UI клиента Git,"Комманды git:
- branch
- commit
- push","Состояния git:
- working directory
- stage area
- .git directory
- что они означают, что там хранится
Команды git:
- dif
- log
- reset
Резрешение конфликтов слияния:
- merge","Команды git:
- fetch
- merge
- cherry-pick","Модели ветвлений:
- Git Flow
- GilLab Flow (GitHub Flow)
- Pull request based
Для каких организаци разработки, какие модели больше подходят:
- для поддержки разных релизов
- для CI/CD
- для раздельных рапозиториев и команд",E1.1-E2.2,E1.1-E2.2,E1.1-E2.2,E1.1-E2.2,E1.1-E3.1,E1.1-E3.1,E1.1-E3.1
,,,,,"Команды git:
- pull
- регулярный merge изменений из основной ветки в свою feture ветку
Резрешение конфликтов слияния:
- merge",,,,,,,,,,
,,Maven,Знаниме базового инструмента управления зависимостями - Maven,"Основные теги maven: 
- dependencies
- plugins
Область видимости зависимости (scope):
- test
- compile","scope:
- runtime
- provided
properties:
- версии зависимостей","Организация мультимодульного проекта:
- type - pom
- dependencyManagement
- parent pom
- modules","Менеджмент плагинов:
- pluginsManagement
- конфигурация плагинов (execution, configuration, goals)
- жизненный цикл/фазы maven (clean, validate, compile, test, package, verify, install, site, deploy)
Остальные:
- repository","Maven - модель зависимостей - https://maven.apache.org/pom.html
Транзитивные зависимости:
- exclusion
- type pom
- type optional
Плагины:
- maven-compile-plugin
- maven-assembly-plugin
- maven-source-plugin
- maven-resource-plugin","Поиск транзитивных зависимостей с помощью 
- maven
- IDE (intelliJ)
Плагины:
- duplicate-finder-maven-plugin - поиск дубликатов зависимостей
- maven-enforcer-plugin - запрет определенных зависимостей
Кастомные properties
Mven CI friendly - https://maven.apache.org/maven-ci-friendly.html","- Maven Java API
- Плагины документации ascii, swagger
- знание разнообразных плагинов",E1.1 - E4.1,E1.1 - E4.1,E1.1 - E4.1,E1.1 - E4.1,E1.1 - E4.1
,Environment,Java Core,Знания базового инструмента - Java,"- Принципы и применение ООП
- Передача параметров по ссылке
- модификаторы и наследование (private, protected, public)
- автоупаковка типов","Коллекции:
- иерархия классов
- представители в каждом типе
- сортиовка и интерфейсы Comparable
Другое:
- типы исключений (иерархия)
- throw, throws, finally
- модификатор final (наследование клссов, методов, final перед перемеными, в параметрах методов)","- Object и его методы, модификатор native
- equeals и hashCode - Map (HashMap)
- equals и hashCode - правила переопределения
Reflection API:
- примеры применения
Аннотации:
- объявление аннотации и default
- @Retention vs @Target
- встроенные аннотации
- ограничения
 ","Generic (Обобщения):
- объявления (классыб методы)
- для чего применяется
- ограничения по extends и super  
- что такое стирание типов
Лямбда-выражения 
- функциональный интерфейс (аннотация @FunctionalInterface)
- захват переменной (можно ли менять значение захваченной переменной)
- ссылки на метод ::
- ссылки на generic метод ::<Integer>
Стандартные функциональные интерфейсы (UnaryOperator, BinaryOperator, Consumer, Supplier, Function, Predicate)","Java 8 Date-Time Api:
- LocalDateTime vs ZonedDateTime
- Instant, Clock
- LocalDateTime.now() - таймзона
- отличия от Date
- хранения в PostgreSQL (типы поддерживаемые драйвером)
String:
- equal() vs ==
Регулярные выражения и Matcher","Многопоточность:
- Синхронизаторы
-- synchronized
-- Lock и обработка InterruptedException
-- ReentrantLock
-- ReadWriteLock
-- другие синхронизаторы
- Примитивы
-- atomic
-- потокобезопасные коллекции (ConcurrentHashMap, CopyOnWriteArrayList)
-- Collections.synchronized - утилитные методы
- Unmodifable vs Immutable
- Asynchronous vs Parallelism
- Callable vs Runnable vs Future
- Executors
-- ThreadPoolExecutor (Single, Fixed, Cached, Scheduled)
-- их различия
Условия гонки:
- check-then-act
- read-modify-write",E1.1 - E4.3.2,E1.1 - E4.3.2,E1.1 - E4.3.2,E1.1 - E4.3.2,E1.1 - E4.3.2,E1.1 - E4.3.2
,,Framework (Spring / Spring Boot / Spring Cloud),Знания деталей фреймворка.,n/a (not applicable at this level),"- Что такое Inversion of Control
- Типы связывания бинов их приоритет (по типу, по id, по имени)
- Аннотация @Qualifier и @Autowired
- Способы внедрения зависимостей (через поле, конструктор, метод), предпотительный способ
- Области действия бинов, scope (singleton, prototype, session, request
- Аннотация @Value и значения по умолчанию
- Объявление DataSource и JdbcTemplate","Аннотация @Transactional - устройство
Виды прокси в Spring (по интерфейсу, по наследованию класса) - плюсы/минусы
Объявление бинов через аннотации:
- @Component
- @Service
- @Repository - что особенного в ней
Конфигурация бинов в Java:
- @Configuration и @Bean
- xml vs Java
Работа с профилями
Контроллеры REST:
- @Controller vs @RestController
- @ResponseBody
- @RequestMapping и его замены (@PostMapping, @GetMapping)
- Обработка ошибок и @ControllerAdvice и @ExceptionHandler
- обработка параметров и тела запроса
- RestTemplate","Инициализация Beans:
- XmlBeanDefinitionReader - чтение конфигурации
- составление BeanDefinition
- пособработка с BeanPostProcessor
- аннотации @PostConstruct и @PreDestroy
Как зарегистрировать свой бин в контексте
Автоваринг списка бинов
Циклические зависимости и аннотация @Lazy
Иерархия контекстов
-- root vs web - в чем отличие, какой из контекстов видит другой
-- Обмен сообщений внутри Spring - ApplicationEvent
Spring Expression Language SpEL
Кэширование и определение ключей кеширования
Spring AMQP и  Spring Cloud Streams","Spring Boot:
- отличия от Spring
- что такое автоконфигурация
- передача properties из вне
- @ConfigurationProperties и работа с ним
- логгирование (slf4j, logback) и настройка в boot
- интернационализация и MessageSource
- настройка DataSource и HikariCP через properties","Spring Boot:
- кэширование и провайдеры (Redis, Hzelcast, etc.)
- тестирование Spring Boot
Spring Boot Actuator:
- использование
- полезные эндпоинты
- разработка своих health-check
Spring Data:
- что такое JPA
- базовые аннотации
Spring Cloud (использование):
- Bus и RefreshScope бинов
- Service Discovery - иедя и использование
- Sleuth 
- Streams 
- что такое bootstrap фаза
- передача bootstrap из вне","Spring Boot:
- разработка авто-кофигураций (стартеров, spring.factories)
- отладка автоконфигураций (режим запуска в debug)
- Condition annotations для автоконфигураций
- EnvironmentPostProcessor - что это и когда выполняется
Spring Boot Actuator:
- тонкая настройка
Spring Cloud (знание деталей и тонкой настройки):
- Sleuth
- Streams
- Consul Discovery","Spring - работа в Docker контейнерах и возможности Spring для этого (Spring Cloud Kubernetes)
Знание и изучение других проектов семейства Spring Boot/Spring Cloud",E1.2-E4.2,E1.2-E4.2,E1.2-E4.2,E1.2-E4.2
,,,,,,,,"Spring Cloud (использование): 
- Sleuth 
- Streams 
- что такое bootstrap фаза
- передача bootstrap из вне",,,,,,,
