Разряд,Группы навыков,Младший инженер,,Инженер,,Старший Инженер,,Ведущий Инженер,,Инженер-Архитектор,
,,Описание,Уровень ЗП,Описание,Уровень ЗП,Описание,Уровень ЗП,Описание,Уровень ЗП,Описание,Уровень ЗП
,,,,,,,,,,,
1,"Эксплуатация распространенных дистрибутивов Linux (Centos\Rhel, Ubuntu\Debian)","Знания на уровне пользователя консоли
Работа с файлами и каталогами. Создание, изменение, удаление, просмотр, просмотр и изменение атрибутов. Linux FHS.
Работа с пакетными менеджерами: Установка, удаление репозиториев, установка, просмотр версий, удаление и закрепление версий пакетов
Работа с базовыми утилитами состояния операционной системы: top, ifconfig, df, ping, nslookup, traceroute, tracepath",,"Знание Linux на уровне опытного пользователя:
Базовые знания tcp\ip. Состояние соединений tcp. Mtu. Принципы работы статической маршрутизации.
Понимание, как работают прикладные протоколы: HTTP\HTTPS, DNS, DHCP
Базовые знания о работе процессов в Linux. В каких состояниях может быть процесс, как его завершить, в чем отличие разных сигналов завершения процесса. Интерпретация вывода команды ps.
Базовые знания о подсистеме ввода-вывода в Linux. Что такое iops, утилизация дисков, latency, await
",,"Знание Linux на уровне системного администратора
Навыки конфигурирования всех подсистем Linux, используя параметры ядра, udev, sysfs.
Знание протоколов tcp\ip и реализации сети в Linux. Применение знаний в диагностике сетевых проблем. 
Знание lartc. Понимание, как принимается решение о маршрутизации пакета в ядре. Понимание принципов статической и динамической маршрутизации в Linux и сети internet. Использование netfilter и iptables\nftables на практике.
Понимание, как работают распространенные сетевые протоколы ARP, ICMP, DHCP, DNS, HTTP\HTTPS\HTTP2. Использование знаний в диагностике сетевых проблем.
Уверенные знания о различных подсистемах в Linux: память, ввод-вывод.
Навыки бекпортирования пакетов приложений rpm и deb.",,"Знание всех предудущих уровней.
Навыки конфигурирования системы под конкретные типы нагрузки. Понимание преимуществ и недостатков различных планировщиков ввода-вывода, сети. Понимание преимуществ и недостатков различных файловых систем.
Понимание влияния различных параметров конфигурации ядра на производительность и работу системы. Конфигурирование ядра под различные типы приложений.
Понимание принципов работы процессов в Linux и межпроцессного взаимодействия.
Навык сборки rpm и deb пакетов с нуля. Написание Makefile, Debian rules, rpm spec.
Навык сборки кастомного ядра. Работа с initrd. Включение и выключение модулей ядра при запуске системы",,Знание всех предудущих уровней.,
,Технологии и инструменты,"Инструменты повседневной работы:
ssh, scp, rsync
postman или аналог
консоль разработчика в Chrome\Firefox
jira, confluence
rdp клиент
клиент для работы с БД: DBeawer, DBforge, Sqlyog...",,"Уверенная работа с системой контроля версий Git: базовые операции, простые слияния веток, разрешение конфликтов.
Уверенная работа с внутренними инструментами команды автоматизации: rundeck, gitlab, supervisord. Администрирование задач, пользователей, групп и репозиториев.
Навыки диагностики проблем, возникающих при работе с внутренними инструментами.
Уверенная работа со стеком мониторинга Prometheus\Grafana\AlertManager. Базовые знания PromQl, добавление простых метрик и алертов.",,"Понимание принципов работы современных систем виртуализации. Overhead в работе виртуальных машин.
Навыки уверенной эксплуатации актуального стека технологий, используемого в web-разработке.
Навыки работы с инструментами Continuous Integration и Delivery, используемыми в компании.
Уверенные знания закрепленных технологий, их возможностей и особенностей эксплуатации.",," Широкий спектр знания актуальных технологий, инструментов и трендов DevOps культуры.",,Знание всех предудущих уровней.,
,Автоматизация и программирование,Базовые знания любого shell-диалекта. Навык написания и чтения простых shell скриптов. Работа с планировщиком cron,," Базовые знания основного языка программирования, используемого в отделе автоматизации на уровне чтения кода и написания небольших утилит. Базовая работа с api сторонних продуктов",,Разработка переиспользуемых объектов configuration management и их тестирование согласно принятым стандартам в рамках эксплуатации закрепленной технологии. ,,"Разработка необходимых инструментов, утилит и интеграций для эксплуатации инфраструктуры продуктов компании и внедрения новых сервисов.",,Знание всех предудущих уровней.,
,Эксплуатация внутренних продуктов компании,"Работа по инструкциям без особого понимания, что же происходит на самом деле",,"Знание стандартных метрик ИТ-систем компании (метрики JVM, метрки ОС, базовые метрики приложений и сервисов). 
Базовое понимание взаимодействия различных компонентов ИТ-систем между собой и влияния инцидентов в одних компонентах на другие. 
Работа с компонентами ИТ-систем посредством API.
",,"Мониторинг и своевременные обновления закрепленных технологий для обеспечения бесперерывной работы. 
",,"Проактивный мониторинг и анализ производительности сервисов. 
Нагрузочное тестирование сервисов. Тестирование производительности сервисов после изменения конфигурации.",,Знание всех предудущих уровней.,
,Проектирование,-,,Понимание полного цикла эксплуатации разрабатываемых в компании приложений.,,"Планирование развития закрепленных технологий с учетом роста нагрузки\объемов данных на небольшом временном отрезке, включая мониторинг, резервное копирование, базовые масштабирование и отказоустойчивость.
Понимание основных паттернов тестирования в разработке и приемке приложений.",,"Знание основных трендов в эксплуатации сложных web\enterprise приложений и построении инфраструктуры.
",,"Знание основных паттернов проектирования и разработки современных web\enterprise приложений. Применение знаний на практике.
Планирование долгосрочного развития сервисов и инструментов отдела автоматизации в целях улучшения качества эксплуатации, уменьшения стоимости обслуживания и соответствия актуальным технологическим решениям в отрасли.
",
,Софт скиллы,"Принятие задач, работа с руководителем, восприятие критики, обучаемость, умение слушать",,Управление эмоциями и управление собственным развитием. Анализ собственной продуктивности и внесение пожеланий по улучшению своей работы. Быстрый поиск и анализ информации по базовым проблемам,,"Принятие решений в стрессовых ситуациях, анализ технических проблем и умение сбора рабочих групп по важным вопросам. Работа в команде в чачестве активного технического консультанта. Системное мышление в рамках проектов DevOps. ",,"Принятие ответственности за возглавление рабочей группы по крупному проекту (до полугода)

Навыки наставничества и контроля младших сотрудников. Делегирование задач между сотрудниками.

Высокая инициативность в работе отдела, грамотный тайм-менеджмент. Работа с не материальной мотивацией сотрудников.",,"Стратегическое мышление и анализ тенденций технологических решений в мире. Умение разбираться в DevOps практиках и глубокое понимание DevOps культуры.

Взаимодействие с различными командами для создания единого потока ценностей",
2,"Эксплуатация распространенных дистрибутивов Linux (Centos\Rhel, Ubuntu\Debian)","Знание различных способов передачи файлов по сети. scp, rsync и.т.д.
Навыки управления локальными и сетевыми разделами в Linux. Монтирование, отключение. Основные флаги монтирования файловых систем ext4 и nfs.
Разметка блочных устройств в Linux: fdisk, parted.
Понимание принципов работы и использование lvm: расширение разделов, volume group, добавление и удаление физических томов. ",,"Понимание, как работает и конфигурируется pam_limits
Понимание, как работают syslog, logrotate. Навыки конфигурирования, обслуживание. Понимание, как пишутся логи в Linux, как ими управлять и как их интерпретировать
Знание и конфигурирование стандартных сервисов: syslog, ssh, ntp\chrony, bind, dhcpd, nfs server, resolv, hosts, pam.
Использования утилит потоковой обработки текста awk, sed. Знание правил составления простых регулярных выражений.",,-Навыки работы с tcpdump\wireshark. Интерпретирование дампов обмена трафиком и построение правильных выводов о работе сети.,,"Навыки работы с strace, ltrace, valgrind для глубокой диагностики состояния процессов в Linux.
Навыки работы с selinux\apparmor, cgroups",,Знание всех предудущих уровней.,
,Технологии,"Знание внутренних инструментов отдела автоматизации: rundeck, supervisord, prometheus\grafana на уровне пользователя",,"Базовые знания языка SQL для диагностики работы используемых реляционных БД: MySql, PostgreSql.
Использование утилиты innotop, pg_activity.",,"Понимание  принципов работы современных серверных технологий: NUMA, RAID, HyperThreading, Ipmi.
Понимание принципов работы современных систем виртуализации и изоляции приложений. Полная виртуализация. Контейнеризация. Отличия в работе bare-metal серверов, виртуальных машин и контейнеров. Сопутствующий overhead.
Понимание принципов работы vlan, bonding, bridging в Linux.
Навыки эксплуатации актуального стека технологий, используемого в web-разработке.
Навыки работы с инструментами Continuous Integration и Delivery.",,"Выбор подходящих технологий и инструментов для решения поставленных задач.
Интеграция новых технологий и инструментов в существующую инфраструктуру.",,Знание всех предудущих уровней.,
,Автоматизация и программирование,"Навык автоматизации рутинных задач, используя любой shell-диалект или язык программирования и планировщик cron. Использование сторонних библиотек и инструментов в коде.",,Навыки разбора логов деплоя и принятие решений по исправлению.,,Навыки разработки простых консольных приложений. Использование фреймворков и сторонних библиотек для решения задач.,,-,,Знание всех предудущих уровней.,
,Эксплуатация внутренних продуктов компании,"Навык базовой диагностики различных компонентов внутренних продуктов компании:
Использование логов различных компонентов продукта.
Использование данных систем мониторинга.
Навык работы по инструкциям.
Решение простых инцидентов: перезапуск модулей для решения различных проблем, очистка дискового пространства.",,Навыки составления технической документации и сценариев выполнения тех. диагностики\повторяющихся задач.,,Навык построения логических цепочек вида: Инцидент k затрагивает n компонентов системы и инцидент в системе i влияет на работу компонента с учетом закрепленных технологий.,,Планирование роста потребляемых ресурсов сервисами с учетом роста нагрузки.,,"Выстраивание процесса эксплуатации продуктов компании совместно с остальными командами ИТ: разработкой, тестированием, поддержкой и администрированием ИС.",
,Проектирование,-,,Понимание основных особенностей используемых технологий и их назначения. ,,"Инеженерный подход к решению возникающих задач. Понимание того, как принятые решения повлияют на состояние системы в целом.",,"Навык оценки новых сервисов и инструментов с точки зрения сложности внедрения, эксплуатации и интегрируемости с существующей инфраструктурой.",,"Кросс-командное проектирование сервисов совместно с разработкой, тестированием, поддержкой и администрированием ИТ систем.
",
