,Желательные для текущего грейда,,,,,,,,,,,,,,
,Дополнительные для текущего грейда,,,,,,,,,,,,,,
,Опционально,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Включает все предыдущие компетенции	,,,"Младший разработчик
Junior Engineer (E1)",,"Разработчик
Middle Engineer (E2)",,"Старший разработчик
Senior Engineer (E3)",,"Ведущий разработчик
Lead (Staff) Engineer (E4)",,,"Архитектор
Principal Engineer (E5)",,
,,,,E1.1,E1.2,E2.1,E2.2,E3.1,E3.2,E4.1,E4.2,E4.3,E5.1,E5.2,E5.3
Technical Skills,Tools,Git,"Понимание/использование базы. Модель бранчей, мержинг, сравнение изменений. Модель Git-flow, наша модель ветвления. Откат изменение. Fast-forward, rebase - и почему их нельзя испольовать",Использование любого UI клиента Git,"Комманды git:
- branch
- commit
- push","Состояния git:
- working directory
- stage area
- .git directory
- что они означают, что там хранится
Команды git:
- dif
- log
- reset
Резрешение конфликтов слияния:
- merge","Команды git:
- fetch
- merge
- cherry-pick","Модели ветвлений:
- Git Flow
- GilLab Flow (GitHub Flow)
- Pull request based
Для каких организаци разработки, какие модели больше подходят:
- для поддержки разных релизов
- для CI/CD
- для раздельных рапозиториев и команд",E1.1-E3.1,E1.1-E3.1,E1.1-E3.1,E1.1-E3.1,E1.1-E3.1,E1.1-E3.1,E1.1-E3.1
,,,,,"Команды git:
- pull
- регулярный merge изменений из основной ветки в свою feture ветку
Резрешение конфликтов слияния:
- merge",,,,,,,,,,
,,Composer,Знаниме базового инструмента управления зависимостями - Composer,"Установка composer, установка зависимостей","- версии зависимостей
- обновление зависимостей
- удаление зависимостей
знать для чего нужен файл composer.lock","Конфигурирование приложения через композер:
значть что означают разделы:
- require
- require-dev
- repositories
- autoload
- minimum-stability
- scripts","Разрешение конфликтов зависимостей
Знание команд:
- validate
- clear-cache
- depends
- show
- dump-autoload","Опции установки пакетов:
--no-dev
--dev
--prefer-dist",E1.1 - E3.1,E1.1 - E3.1,E1.1 - E3.1,E1.1 - E3.1,E1.1 - E3.1,E1.1 - E3.1,E1.1 - E3.1
,Environment,PHP Core,Знания базового инструмента - PHP,"- Типы данных
- приоритеты операций
- работа с файлами, чтение конфига
- работа с БД
- ошибки приложения","- Сериализация
- ООП
- получение переданных данных
- загрузка файлов
- сессии, куки
- работа с исключениями","- взаимодействие с другими апи (curl)
- приведение типов и сравнение данных
- область видимости, namespace
- настройка PHP
- аннотации в коде","- абстрактные классы
- интерфейсы
- трейты
- MVC, ORM, AR
- магические методы
- анонимные функции и классы","- генераторы
- static vs self
- типизация в пхп
- волшебные константы
- PSR
- ReflectionApi",E1.1 - E3.1,E1.1 - E3.1,E1.1 - E3.1,E1.1 - E3.1,E1.1 - E3.1,E1.1 - E3.1,E1.1 - E3.1
,,Framework (Yii2 / Laravel / Slim),Знания деталей фреймворка.,n/a (not applicable at this level),"опыт установки, настройки и работы с каким-либо фреймворком","Уметь создавать:
 - маршруты для api
 - миграции
 - консольные команды
 - шаблоны","Уметь реализовывать REST-API
Работать с валидаторами
Уметь настраивать разграничение прав доступа","Покрытие проекта тестами
Оптимизация запросов к БД
Внедрение DI","Уметь
- кэширование и провайдеры (Redis, Mongo, etc.)
- разработка своих health-check
- Service Discovery - идея и использование",Уметь в модуле настраивать взаимодействие с консулом,Уметь масшатбировать свой модуль и понимать что необходимо для запуска модуля в кубах,E1.2-E4.2,E1.2-E4.2,E1.2-E4.2,E1.2-E4.2
,,Design,"Знание верстки, технологий верстки","Базовые знания HTML
Базовые знания CSS","HTML - forms, validations
CSS - floats, positioning, display","CSS - Box model, CSS Grid
HTML5","CSS3 - Flex Box, Bootstrap
HTML5","Адаптивная  верстка:
- cross-browser
- cross-platform
- cross-device","scss, less, stylus
gulp",,,,,,
,,JS + node,,n/a (not applicable at this level),базовый JS,jQuery and other JS library,"DOM, Ajax, form validators","node-js
react
angular-js",vue,,,,,,
,Quality & Testing,Coding & Refactoring,"Стандартные правила качественной разработки. Не относится к нашим стандартам. Наследование/композиция, разделение интерфейсов, легко тестируемый код. Уместное комментирование, структура кода, паттерны - знание, применение, уместное применение/понимание где нужно, принципы DRY, SOLID, разделение по слоям, абстракции.
Анализ кода, находить и устранять проблемы в коде, правильно расставлять приориеты. Выполнение оставленных TODO.
Писать код, который проходит quality gate при CI",Code Style - соблюдать принятый в проекте (PSR-12 в частности),"Чистый код: 
- наименование классов, методов, переменных 
- должны отображать смысл решаемой проблемы, намерения разработчика
- компактные методы","Чистый код:
- комментирование классов - не то что делает, а какую проблему решает (намерение, а не реализация) 
- хорошие vs плохие коментарии
SOLID:
- SRP - понимание с примерами
- ISP - понимание с примерами
- написание тестируемых классов
GoF Design Patterns:
- Порождающие (Builder, Factory Method, Singleton) подробно с вариантами","SOLID:
- OCP - понимание с примерами
- DIP - понимание с примерами
GoF Design Patterns:
- Структурные (Adapter, Decorator, Facade, Proxy) подробно с вариантами
DRY:
- общее понимание","Слоевая модель (Clean Architecture aka Hexagonal Architecture):
- знание слоевой модели
- какие слои есть
- для чего предназначен каждый слой
- для чего вообще нужна слоевая модель
- полиморфизм из ООП
SOLID:
- LSP - понимание с примерами
GoF Design Patterns:
- Поведенческие (Chain of Responsibility, Command, Mediator, Observer, Strategy, Template Method) подробно с вариантами","DRY:
- применение при проектировании классов (фич)
- понимать, что относится не к повторению кода, а к повторению реализаций домена
GoF:
- Strategy vs Chain of Responsibility
- варианты их реализаций
- где и как в Spring реализованы GoF паттерны
- примеры как в Spring реализовать паттерны
SOLID:
- OCP (Open Close Principle - O из SOLID) - применение при создании классов
- ISO (Interface Segregation Principle - I из SOLID) - применение при проектировании интерфейсов
- DIP (Dependency Injection Principle - D из SOLID) - применение при проектировании зависимостей классов
- LSP (Liskov Substitutio Principle - L из SOLID) - применение при проектированиие зависимостей классов","Слоевая модель (Clean Architecture aka Hexagonal Architecture):
- пример разбиения на слои
- направленность потока данных (http запрос, обработка, логика, запись в бд, ответ)
- направленность зависимостей между слоями (он же D из SOLID)
- Application Layer - назначение, отличие от Domain и Api слоёв","Слоевая модель (Clean Architecture aka Hexagonal Architecture):
- Interactor (Use Case) - какую ответственность несет. На каком слое интерфейс, на каком реализация 
- применение в проекте - рефакторинг в соответствии с моделью
- проектирование моудля и фич в сотоветствии со слоевой моделью",,"GRASP (general responsibility assignment software patterns):
- Informational Expert (Информационный эксперт)
- Creator (Создатель)
- Controller (Контроллер)
- Low Coupling (Слабое зацепление)
- High Cohesion (Высокая связность)
- Polymorphism (Полиморфизм)
- Pure Fabrication (Чистая выдумка)
- Indirection (Посредник)
- Protected Variations (Устойчивость к изменениям)
Связь GRASP с GoF, DRY, SOLID, DDD:
- с помощью чего покрываются 9 принципов",E1.1-E5.1,E1.1-E5.1
,,,,,"SOLID: 
- общее понимание 
GoF Design Patterns:
- типы паттернов (порождающие, структурные, поведенческие)
- общее знание, какие проеблемы решают",,,,,,,,,,
,,Databases (SQL/NoSQL),"Написание запросов. План запроса. Оптимизация. Статусы транзакций. Диагностика медленных запросов. Партиционирование. NoSQL - какие есть, для каких задач какие применять. Redis, MongoDB, ElasticSearch. Хранилища данных - FTP, S3, Android File Storage. Комментирование таблиц. Построение индексов в ElasticSearch, как хранить локализованные данные.  ","Типы данных:
- целочисленные, вещественные, строковые, даты
SQL:
- SELECT, INSERT, UPDATE, DELETE, JOIN (виды),WHERE
- UPSERT - в PostgreSQL","Типы данных: 
- json, jsonb, 
- автоинкременты (serial)
- кастомные типы и преобразование типов
SQL:
- HAVING (отличия where и having), 
- GROUP BY, DISTINCT, EXISTS
- LIKE vs ILIKE - сравнение строк","SQL:
- USING, TEMP TABLE, WITH
Процедуры:
- процедуры, функции, циклы, курсоры, CALL
DDL:
- CREATE, ALTER, DROP, TRUNCATE, COMMENT, RENAME
- IF EXISTS - специфичные DDL для PostgreSQL
PostreSQL (специфика):
- information_schema - для чего эта таблица, что там
Транзакции - что это, зачем нужны
","Проектирование: 
- Нормальные Формы - 1,2,3
- внешние ключи (типы, производительность)
- триггеры
- схемы БД
Оптимизация:
- explain (понимание плана запроса)
- analize
- типы индексов (где какие использовать)","PostgreSQL (специфика):
- VACUUM, FULL VACUUM (и почему не надо самим запускать)
- REINDEX
- CONCURRENTLY - конкурентное создание/удаление индекса
Инструменты:
- pgpool
- extension
- pg_dump, работа с дампами (снять, развернуть)
Версионные и блокировочные БД (deadlock)
- какие есть
- отличия подходов","Проектирование:
- уместная денормализация
Оптимизация:
- индексы - типы, как устроены, влияние на производительность
- транзакции (явные, неявные), 
- уровни изоляций транзакций
- статусы транзакций, id транзакции","Проектирование:
- партиционирование vs шардирование
- партиционирование
- индексы с партициями
- производительность чтения/записи в партициях
- репликация
Блокировки: 
- гранулярность
- режимы exclusive, shared
Мониторинг БД спец таблицы PostgreSQL: 
- pg_locks
- pg_stat_activity
- pg_stat_user_tables","PostgreSQL (специфика):
- WAL (write-ahead loggin)
- буферный кэш",E1.1-E4.2,E1.1-E4.2,E1.1-E4.2,E1.1-E4.2
,,,,,,,,,"NoSQL (опыт работы по задачам в проекте):
- Elasticsearch
- Redis
- other",,,,,,
,,REST API,"OpenApi3 спецификация - знать, писать контракты, с примерами и валидацией (тоже пока обсуждается). Дизайн апи по методу Contract-First.. Разбираться, применять. API http статусы в соответствии с нашими стандартами. Различия REST Level 0, 1, 2.",,,,,,,,,,,,
,,AMQP,"Основные понятия очередей и протокола. Отличие протоколов AMQP, JMS. Сопосбы организации очередей. Брокеры RabbitMQ, Kafka их особенности и различия. DQL и Spring Cloud Streams.",,,,,,,,,,,,
,,Testing,"unit, integration, пирамида тестов от дядюшки Мартина Фаулера. Позитивные сценарии, граничные условия, негативные сценарии. Область покрытия. Тесты компонентов. Нагрузочные тесты (возможно). JUnit, Mockito, Testcontainers, WireMock, AssertJ, Spring Test, Spring Boot Test.",n/a (not applicable at this level),"Test Pyramid - знать, что это такое.
Покрытие unit-тестами (PHPUnit) отдельных задач:
- positive сценарии","Test Pyramid - понимать иерархию, иногда следовать принципам при написании тестов.
Частичное покрытие unit-тестами разрабатываемго функционала
Mock (Mockery) - использование для unit-тестов.
","Test Pyramid - понимать иерархию, часто следовать принципам при написании тестов.
Покрытие unit-тестами разрабатываемого функционала. positive, negative сценарии.","Test Pyramid - постоянное следование принципам при написании тестов.
Mock, Spy, Stub - различия и понимать где что нужно применять.
Интеграционные тесты - использовать
Ревью покрытия тестами задач Junior-a и Middle-а.","Узкие интеграционные тесты (narrow integration tests) - тестирование границ взаимодествия с внешним миром:
- моки к бд
- моки вызовов других сервисов",Покрытие кода тестами - модульными и интеграционными,E1.2-E4.1,E1.2-E4.1,E1.2-E4.1,E1.2-E4.1,E1.2-E4.1
