Технические навыки (Tech Skills),,,,,,,
Навык/Вес,0 - no experience,1 - novice,2 - intermediate,3 - advanced,4 - expert,,
"Автоматизированное тестирование API, использование Jmeter, postman. ",Нет опыта,"Имеет некоторые теоретические знания и понимает основные принципы, может выполнять простые задания под сильным контролем.","Знает теорию на среднем уровне и может делать регулярные задачи / создавать артефакты, не будучи под постоянным присмотром. Требуется надзор в сложных ситуациях.","Имеет солидный опыт и знания, и может выполнять большинство реальных сложных задач. Контроль не требуется.","Имеет глубокое понимание и опыт в применении для задач любой сложности, знает подводные камни, может быть наставником.",,
"SQL (Dbeaver, Data Grip и другое)",нет опыта,Пишет простые запросы. Умеет настраивать соединение к различным типам БД. ,"Пишет составные запросы, Select, Update, Insert. Знает принцип построения Join запросов. Умеет выгружать данные из используемого клиента. ",Пишет сложные составные запросы. Умеет накатывать сложные скрипты от разработки. Имеет свою базу написанных запросов на поиск любой информации. ,"Умеет писать любые запросы, анализирует выполняемые скрипты, может разобрать сложные скрипты разработчиков для подготовки данных под запрос. Глубокие знания теории, может быть наставником у коллег по SQL. ",,
Консоль,нет опыта,"Подключение по SSH. 
Просмотр логов. 
Старт\стоп\Рестарт компонентов","Выкладка скриптов. 
Поиск, скачивание нужного лога.","Выполнение SQL запросов напрямую к базе. 
Просмотр статуса работы с базой. Отслеживание Локов. 
",Управление процессами ноды.,,
"Инструменты тестирования мобильных приложений. Android Studio, Charles.",Нет опыта,"Имеет представление для чего используется, может отловить запрос, идентифицировать свое устройство. ","Может выбрать инструмент наиболее подходящий под требования задачи, может настроить и обучить другого сотрудника. Тестирование на эмуляторах различных устройств с разным разрешением, версией ОС. ","Умеет отслеживать трафик приложения, подменять данные, умеет пользоваться доступными функциями эмулятора (эмулировать низкую скорость интернета и пр.)",Всё предыдущее + умеет пользоваться отладчиком кода для более точной локализации бага. ,,
Знание тестового ПО подразделения,"Нет знаний, не использовалось. ",Имеет некоторые теоретические знания и понимает основные принципы.,"Знает для чего используется какой инструмент, самостоятельно выбирает необходимый инструмент. Выбирает пути реализации.","Отличные знания всего Тестового ПО, может консультировать новичков по ПО. ","Отличные знания всего Тестового ПО, может консультировать новичков по ПО. Ищет если нужно более современные инструменты, оптимизирует работу с имеющимися инструментами, консультирует новичков. Знает возможности инструментов, плюсы и минусы. ",,
,,,,,,,
,,,,,,,
,,,,,,,
Социальные навыки (Soft Skills),,,,,,,
Навык/Вес,0 - no experience,1 - novice,2 - intermediate,3 - advanced,4 - expert,,
Ответственность,опыт отсутствует,"Чувствует ответственность за свои задачи, пытается сделать их с хорошим качеством. Тем не менее не заботится о том, что вокруг (""моя задача выполнена, и она работает, кто-то другой отвечает за дальнейшей части"").","Чувствует ответственность за успех выполнения своей задачи. Помогает другим, если задача непосредственно влияет на качество его работы. В случае возникновения проблем, поставит PM / TL в известность, для того, чтобы исправить проблемы.","Полностью отвечает за успех выполнения задачи, которую он делает, в том числе не только его конкретной работы, но помогает другими заинтересованными людям выполнять качественно свою часть работы. Готов принять и принимает всю ответственность.","При выполнении своей работы, всегда держит в уме успех всего проекта. Избегает простых решений, если они могут негативно повлиять на проект в будущем. Помогает решать проблемы, даже если они непосредственно не касаются его области ответственности.",,
Коммуникации,опыт отсутствует,"Требуется время, чтобы выразить свои мысли. Может быть оскорбительным из-за отсутствия такта и опыта. Может бояться написать / позвонить другому члену команды, чтобы решить некоторые проблемы.","Может общаться по рабочим темам без эскалации, может донести мысли в разумные сроки. Не всегда реагирует на чужие аргументы в разумных пределах, но пытается решить непонимание, если таковое имеется.","Способен четко выразить мысли, стараясь быть вежливым и избежать потенциально опасных тем. Реагирует на чужие аргументы / критику в разумных пределах. Пытается исправить проблемы. Поддерживает хорошие отношения с заказчиком и членами команды.","Эксперт в области коммуникаций. Способен устанавливать связь наиболее эффективным способом: ясен, краток, вежлив, убедителен. Конструктивный подход к чужому мнению. Может быстро установить дружеские отношения с заказчиками и членами команды, может решить узкие вопросы без эскалации. Регулирует собственную коммуникацию в соответствии с культурным контекстом.",,
Стрессоустойчивость,опыт отсутствует,Не может действовать в условиях стресса.,"Стрессовыми ситуациями для него являются: регулярные мероприятия, релизы, срочные вопросы, несколько одновременных приоритетных задач. Нуждается в помощи для их успешного решения. ","Может успешно справляться с такими стрессовыми ситуациями, как: регулярные мероприятия, релизы, срочные вопросы, несколько одновременных приоритетных задач. Но не может справиться с более высокой нагрузкой и частой эскалацией проблем.","Способен противостоять постоянной эскалации проблем (особенно таких, как недовольство заказчика), может выдерживать очень высокую нагрузку. Время от времени нужны перерывы для восстановления.",,
Сотрудничество и координация действий,опыт отсутствует,"Нет желания работать в команде, стремится получить индивидуальные задания.","Умеет работать в команде, понимает необходимость совместной работы и возможность работать в координации с другими. С другими обращается честно и справедливо, показывает внимание и уважение.","Умеет работать в команде, в состоянии координировать, но только в короткие периоды и простые задачи, старается избегать длительной координации действий. Обеспечивает поддержку сотрудников и равноправие, а не конкуренцию.","Может быть лидером во всех ситуациях, не нуждается во внешней помощи. Руководит членами команды для достижения задач, целей, координирует процессы и стандарты работы. Признает достижения членов команды.",,
Наставничество,опыт отсутствует,"Никогда не пытался обучать кого-то, или пытался, но не удалось.","Может организовать изучение материалов по определенным темам. Имеет некоторый опыт в обучении людей, выступал в качестве куратора новичка.","Может организовать изучение материалов во всех соответствующих областях, способен передать знания всем адекватным людям. Успешно может обучать 2+ человек.",Постоянно в поиске инновационных способов организации изучения материалов для обучения других сотрудников. Находит наиболее эффективные пути для проведения тренингов. Может наладить процесс передачи знаний внутри команды.,,
