Легенда навыков по грейдам,,,,,,,,,,,,
Обязательные    ,,Желательные ,Дополнительные,Опционально,Включает все предыдущие компетенции,,,,,,,
,,,,,,,,,,,,
,,,"Младший разработчик
Junior Engineer (E1)",,"Разработчик
Middle Engineer (E2)",,"Старший разработчик
Senior Engineer (E3)",,"Ведущий разработчик
Lead (Staff) Engineer (E4)",,"Главный разработчик
Principal Engineer (E5)",
,,,E1.1,E1.2,E2.1,E2.2,E3.1,E3.2,E4.1,E4.2,E5.1,E5.2
Тех. скилы,Инструменты,Git,Использование любого UI клиента Git (обязательно),"Команды git:
- branch
- commit
- push (обязательно)","Состояния git:
- working directory
- stage area
- .git directory
- что они означают, что там хранится
Команды git:
- dif
- log
- reset
Разрешение конфликтов слияния:
- merge (обязательно)","Команды git:
- fetch
- merge
- cherry-pick (обязательно)","Модели ветвлений:
- Git Flow
- GilLab Flow (GitHub Flow)
- Pull request based
Для какой организации разработки, какие модели больше подходят:
- для поддержки разных релизов
- для CI/CD
- для раздельных рапозиториев и команд

Команды git: 
- merge --no-ff
- rebase (дополнительно)",E1.1-E3.1 (включает все предыдущие компетенции),E1.1-E3.1 (включает все предыдущие компетенции),E1.1-E3.1 (включает все предыдущие компетенции),E1.1-E3.1 (включает все предыдущие компетенции),E1.1-E3.1 (включает все предыдущие компетенции)
,,,,"Команды git:
- pull
- регулярный merge изменений из основной ветки в свою feture ветку
Резрешение конфликтов слияния:
- merge (желательно)",,,,,,,,
,,Сборщики,Понимание работы webpack (желательно),Умение создавать базовый конфиг Webpack. (желательно),Работа с базовыми конфигами (обязательно),"Уметь написать ""продвинутый конфиг"" для webpack. Уметь внедрять конфиг в уже существующий код. (желательно)",E1.1-E2.2 (включает все предыдущие компетенции),E1.1-E2.2 (включает все предыдущие компетенции),E1.1-E2.2 (включает все предыдущие компетенции),E1.1-E2.2 (включает все предыдущие компетенции),E1.1-E2.2 (включает все предыдущие компетенции),E1.1-E2.2 (включает все предыдущие компетенции)
,JS-технологии,JavaScript,"-Типы данных (области использования, различия, особенности).
-Базовое понимание языка и его особенности (this, передача данных по ссылке/по значению, логические операции, особенности работы с числами, циклы)
-Работать с основными методами/свойствами строк/чисел/объектов/массивов.
-Переменные (Понимание, способы создания, различия).
-Callbacks понимать/применять на практике.
-ES6 понимать/использовать на практике (обязательно)","Замыкания и области видимости (Понимать)
-Иметь полное представление и понимание о методах объектов/массивов.(Мутабельные и иммутабельные методы)
-Геттеры/сеттеры принципы использования в JS
-Hoisting что это и зачем, как влияет use strict.
-Promises понимать/применять на практике.
-Различия промисов и колбэков, преимущества и недостатки.
-Понимать основы работы с событиями (модель распространения событий, перехват, обработка, отмена)
-ES6+ уверенное владение.

 (обязательно)","-Асинхронность в JS: процессы и потоки/конкурентность/асинхронность/event loop/job queue/async/await .
-Понимать регулярные выражения, способы создания инстанса/их методы, какие бывают флаги/квантификаторы/наборы.
-Класс(функция constructor, создание экземпляров, наследование, super, переопределение методов)
-Полиморфизм(передача аргументов в функцию)
-Чистые функции, функции высшего порядка, мутабельность и иммутабельность. приемущества/недостатки/возможные проблемы.
-Замыкания/Рекурсии.
 (обязательно)",E1.1-E2.1 (включает все предыдущие компетенции),"-Итераторы: какие существуют протоколы/зачем нужны/в чем разница с перебором массива. 
-Генераторы
-Каррирование/мемоизация
-Структуры данных: Stack, Queue, Linked List, Set, Hash Table, Tree, Trie, Graph (что из себя представляют, особенности)

 (обязательно)",E1.1-E2.2 (включает все предыдущие компетенции),E1.1-E2.2 (включает все предыдущие компетенции),E1.1-E2.2 (включает все предыдущие компетенции),E1.1-E2.2 (включает все предыдущие компетенции),E1.1-E2.2 (включает все предыдущие компетенции)
,,,,"-Дескрипторы свойств объектов(зачем и что могут)
-Keyed collections Set/Map/WeakSet/WeakMap(Понимать). (дополнительно)",,,"-JS scope: static, dynamic, runtime-augmented. (Понимать) 
-Tail call, что такое, для чего, способы оптимизации. (дополнительно)",,,,,
,,TypeScript,"- типизирование полей, аргументов существующими типами (обязательно)","- описание новых классов, абстрактных классов, интерфейсов, перечислений
- опциональные поля, аргументы
- типизация возвращаемого значения функции
- наследование
- инкапсуляция
- статичность
 (обязательно)","- дженерики
- utility types
- настройка tsconfig (обязательно)","- умение работать без типа ""any"" и ""unknown""
- TypeScript типизация npm пакетов (Как ts узнает, что есть типизация) (дополнительно)",,,,,,
,,VueJS,"Vue 2.x.x
- Структура компонента  
- Хуки жизненного цикла компонента 
- computed/methods/watchers
- props/emit
- directives


Vue-router
- уметь делать навигацию по S.P.A.

Vuex
- понимание FLUX


 (опционально)","Vue 2.x.x
- mixins 
- slots
- dynamic components
- custom directives
- render functions

Vue-router
- router hooks 

Vuex
- state/actions/getters/mutations

Nuxt.js
-понимать что такое SSR и зачем нужен
 (опционально)","Vue 2.x.x
custom directives
render functions

Vue-router
- router hooks 

Vuex
-data persistence

Nuxt.js
-config/plugins/middelwares (опционально)",E1.1-E2.1 (включает все предыдущие компетенции),E1.1-E2.1 (включает все предыдущие компетенции),E1.1-E2.1 (включает все предыдущие компетенции),E1.1-E2.1 (включает все предыдущие компетенции),E1.1-E2.1 (включает все предыдущие компетенции),E1.1-E2.1 (включает все предыдущие компетенции),E1.1-E2.1 (включает все предыдущие компетенции)
,,AngularJS,"-Понимать что такое контроллеры/фабрики/директивы, для чего используются.
-Понимать назначение ng-app/bind/model/init/class/style/controller/repeat/view/include/if/switch/show/hide.
-Понимать назначение filters, какие есть из коробки. (опционально)","-Понимание жизненного цикла приложений.
-Понимать что такое scope/Two-way Binding/Data-binding/Роутинг, как используется.
-ng-if/switch/show/hide - различия и особенности работы.
-Использовать на практике директивы и фильтры из E1.1, писать собственные.
-Уметь писать фабрики.
-Директивы событий, знать, использовать на практике.
-Сервисы: $controller, $rootScope, $window, $location, $http, $timeout, $interval, понимать, использовать на практике/писать собственные. (опционально)","-Знать AngularJS Global API, использовать на практике.
-Формы и валидация форм, знать, использовать на практике.
 (опционально)","-Быть знакомым с основными библиотеками используемыми по проектам.
-Выбор готовых angularJS-совместимых решений если среди ранее используемых нет подходящих.
-Конфигурирование проекта/приложения. (опционально)",Уметь рефакторить AngularJS приложения (опционально),E1.1-E3.1 (включает все предыдущие компетенции),E1.1-E2.2 (включает все предыдущие компетенции),E1.1-E2.2 (включает все предыдущие компетенции),E1.1-E2.2 (включает все предыдущие компетенции),E1.1-E2.2 (включает все предыдущие компетенции)
,,,,,"-Оптимизация AngularJS
Понимать основные способы/принципы оптимизации, за счёт каких действий можно ускорить приложение - применение готовых решений и/или рефакторинг. Уметь использовать готовые решения для оптимизации. (опционально)",,,,,,,
